Date,"Type (compostable, landfill, recyclable)",Total weight (pounds),Container weight (pounds),Net weight (pounds),Note
5/29/21 9:34 AM,compostable,2.448,1.128,1.320,
6/6/21 3:28 PM,compostable,4.372,1.128,3.244,
6/8/21 12:17 PM,compostable,3.278,1.128,2.150,
6/11/21 12:06 PM,compostable,3.048,1.128,1.920,
6/11/21 6:41 PM,compostable,1.372,1.128,0.244,
6/16/21 7:41 PM,compostable,2.628,1.128,1.500,
6/20/21 5:41 PM,compostable,5.440,1.128,4.312,
6/22/21 8:44 AM,compostable,2.270,1.128,1.142,
6/23/21 5:37 PM,compostable,2.012,1.128,0.884,
6/25/21 12:45 PM,compostable,2.400,1.128,1.272,
6/25/21 8:54 PM,compostable,5.022,1.128,3.894,
6/27/21 5:03 PM,compostable,2.380,1.128,1.252,
7/1/21 1:32 PM,compostable,1.866,1.128,0.738,
7/4/21 6:45 AM,compostable,5.410,1.128,4.282,
7/6/21 8:00 AM,compostable,2.560,1.128,1.432,
7/6/21 10:00 AM,compostable,-12000.000,0.000,-12000.000,A1 Organics EcoGro (6 cubic yards)
7/9/21 11:36 AM,compostable,5.354,1.128,4.226,
7/11/21 5:49 PM,compostable,4.412,1.128,3.284,
7/13/21 12:36 PM,compostable,2.090,1.128,0.962,
7/17/21 8:29 AM,compostable,2.588,1.128,1.460,
7/19/21 10:42 AM,compostable,1.912,1.128,0.784,
7/21/21 4:08 PM,compostable,2.010,1.128,0.882,
7/25/21 8:49 AM,compostable,2.556,1.128,1.428,
7/29/21 8:08 AM,compostable,2.850,1.128,1.722,
8/2/21 12:23 PM,compostable,3.042,1.128,1.914,
8/2/21 7:32 PM,compostable,1.654,1.128,0.526,
8/5/21 1:54 PM,compostable,1.936,1.128,0.808,
8/6/21 7:12 AM,compostable,3.464,1.128,2.336,
8/14/21 7:56 AM,compostable,2.660,1.128,1.532,
8/16/21 7:52 AM,compostable,3.444,1.128,2.316,
8/20/21 9:17 AM,compostable,4.240,1.128,3.112,
8/22/21 11:51 AM,compostable,2.206,1.128,1.078,
8/23/21 6:42 AM,compostable,3.064,1.128,1.936,
8/23/21 6:39 PM,compostable,2.010,1.128,0.882,
8/26/21 6:48 AM,compostable,3.648,1.128,2.520,
8/26/21 11:51 AM,compostable,4.039,1.128,2.911,
8/26/21 12:01 PM,compostable,5.264,1.128,4.136,
8/26/21 7:27 PM,compostable,1.456,1.128,0.328,
8/27/21 6:28 AM,compostable,2.034,1.128,0.906,
8/29/21 7:29 AM,compostable,5.392,1.128,4.264,
8/30/21 6:25 AM,compostable,1.784,1.128,0.656,
8/30/21 7:35 PM,compostable,2.974,1.128,1.846,
9/2/21 7:10 AM,compostable,3.286,1.128,2.158,
9/3/21 5:44 PM,compostable,2.662,1.128,1.534,
9/5/21 8:24 AM,compostable,1.698,1.128,0.570,
9/5/21 4:20 PM,compostable,6.064,1.128,4.936,
9/9/21 10:06 PM,compostable,8.050,1.128,6.922,
9/14/21 10:35 AM,compostable,2.086,1.128,0.958,
9/16/21 6:43 PM,compostable,3.958,1.128,2.830,
9/24/21 7:58 AM,compostable,2.848,1.128,1.720,
9/25/21 8:51 AM,compostable,4.394,1.128,3.266,
9/26/21 8:59 AM,compostable,4.406,1.128,3.278,
9/29/21 11:13 AM,compostable,3.508,1.128,2.380,
10/3/21 12:21 PM,compostable,3.110,1.128,1.982,
10/4/21 9:39 AM,compostable,3.592,1.128,2.464,
10/6/21 7:19 PM,compostable,2.316,1.128,1.188,
10/10/21 5:44 PM,compostable,2.962,1.128,1.834,
10/13/21 7:29 AM,compostable,2.638,1.128,1.510,
10/16/21 8:21 AM,compostable,2.514,1.128,1.386,
10/19/21 6:27 PM,compostable,1.478,1.128,0.350,
10/25/21 10:34 AM,compostable,2.034,1.128,0.906,
10/26/21 7:15 AM,compostable,1.406,1.128,0.278,
10/29/21 7:17 AM,compostable,2.210,1.128,1.082,
11/1/21 5:10 PM,compostable,2.488,1.128,1.360,
11/5/21 8:26 AM,compostable,1.684,1.128,0.556,
11/6/21 7:59 AM,compostable,2.974,1.128,1.846,
11/7/21 8:05 PM,compostable,1.444,1.128,0.316,
11/9/21 4:54 PM,compostable,2.002,1.128,0.874,
11/12/21 9:24 AM,compostable,1.976,1.128,0.848,
11/15/21 12:22 PM,compostable,3.218,1.128,2.090,
11/16/21 7:21 PM,compostable,2.360,1.128,1.232,
11/28/21 9:21 AM,compostable,1.504,1.128,0.376,
11/30/21 7:40 AM,compostable,1.784,1.128,0.656,
12/4/21 9:20 AM,compostable,2.668,1.128,1.540,
12/8/21 8:15 AM,compostable,2.936,1.128,1.808,
12/12/21 8:30 AM,compostable,2.852,1.128,1.724,
12/14/21 5:32 PM,compostable,1.894,1.128,0.766,
12/17/21 9:29 AM,compostable,2.304,1.128,1.176,
12/20/21 7:19 AM,compostable,2.450,1.128,1.322,
12/22/21 7:46 PM,compostable,3.772,1.128,2.644,
01/08/2022 08:47 AM,compostable,3.814,1.128,2.686,
01/10/2022 08:25 AM,compostable,2.29,1.128,1.162,
01/10/2022 06:16 PM,compostable,2.002,1.128,0.874,
01/13/2022 07:42 AM,compostable,2.048,1.128,0.92,
01/14/2022 08:24 AM,compostable,5.302,1.128,4.174,
01/16/2022 10:12 AM,compostable,2.42,1.128,1.292,
01/16/2022 08:31 PM,compostable,2.46,1.128,1.332,
01/18/2022 07:53 AM,compostable,2.744,1.128,1.616,
01/19/2022 11:48 PM,compostable,50000,1.128,49998.872,
01/20/2022 12:02 PM,compostable,3.752,1.128,2.624,
01/22/2022 12:49 PM,compostable,2.152,1.128,1.024,
01/27/2022 09:57 AM,compostable,3.83,1.128,2.702,
01/30/2022 01:55 PM,compostable,3.068,1.128,1.94,
02/05/2022 10:35 AM,compostable,5.422,1.128,4.294,
02/05/2022 10:43 AM,compostable,2.064,1.128,0.936,
02/06/2022 10:43 AM,compostable,2.312,1.128,1.184,
02/11/2022 10:39 AM,compostable,4.274,1.128,3.146,
02/14/2022 08:15 AM,compostable,4.024,1.128,2.896,
02/17/2022 09:01 AM,compostable,3.042,1.128,1.914,
02/19/2022 03:03 PM,compostable,2.392,1.128,1.264,
02/26/2022 08:25 AM,compostable,2.736,1.128,1.608,
02/23/2022 01:23 PM,compostable,4.404,1.128,3.276,
03/02/2022 08:21 AM,compostable,2.884,1.128,1.756,
03/04/2022 06:11 PM,compostable,3.384,1.128,2.256,
03/09/2022 09:10 AM,compostable,2.26,1.128,1.132,
03/13/2022 06:25 PM,compostable,2.784,1.128,1.656,
03/19/2022 12:14 PM,compostable,3.126,1.128,1.998,
03/30/2022 09:06 AM,compostable,1.612,1.128,0.484,
03/31/2022 09:58 AM,compostable,1.888,1.128,0.76,
04/08/2022 11:53 AM,compostable,3.028,1.128,1.9,
04/15/2022 09:24 AM,compostable,3.044,1.128,1.916,
04/19/2022 08:53 AM,compostable,2.828,1.128,1.7,
04/21/2022 08:18 AM,compostable,2.136,1.128,1.008,
04/24/2022 04:19 PM,compostable,3.666,1.128,2.538,
04/27/2022 03:14 PM,compostable,2.244,1.128,1.116,
04/29/2022 11:46 AM,compostable,2.662,1.128,1.534,
05/06/2022 11:10 AM,compostable,4.132,1.128,3.004,
05/09/2022 07:43 AM,compostable,1.848,1.128,0.72,
05/13/2022 09:30 PM,compostable,3.774,1.128,2.646,
05/16/2022 07:41 AM,compostable,1.996,1.128,0.868,
05/20/2022 08:17 AM,compostable,2.686,1.128,1.558,
05/23/2022 08:42 AM,compostable,2.034,1.128,0.906,
05/27/2022 05:27 PM,compostable,3.224,1.128,2.096,
05/29/2022 07:57 AM,compostable,1.876,1.128,0.748,
05/31/2022 07:03 PM,compostable,1.704,1.128,0.576,
06/01/2022 12:44 PM,compostable,3.588,1.128,2.46,
06/05/2022 09:21 AM,compostable,2.278,1.128,1.15,
